representation,AUROC,BAcc,AUPR,Macro-F1,Exact-set,Brier
envelope_log_power,0.8138447971781305,0.7427248677248678,0.6609163064868894,0.7434056284070647,0.543859649122807,0.16050664093995246
all,0.8067019400352734,0.728968253968254,0.6509589265375709,0.7284887624489637,0.5964912280701754,0.140510259688392
fixed_log_power,0.7525573192239858,0.6771164021164021,0.6103267327569548,0.6698524637985287,0.40350877192982454,0.16852003036035054
statistics,0.7206349206349207,0.7293650793650794,0.5889380774621532,0.7215863354752243,0.543859649122807,0.1983079820201349
