hierarchy,selection,inference_allowed,macro_auroc_mean,macro_auroc_split_ci_low,macro_auroc_split_ci_high,exact_set_mean,selection_entropy,outer_regret_mean
record_grouped,fixed_prespecified,True,0.9585981381273048,0.9510760204725829,0.965553541967292,0.7907082362082362,0.0,0.029395468574635236
record_grouped,nested_selection,True,0.9728077841911174,0.9671641989838866,0.978395210537919,0.8070986790986789,0.8375400293801352,0.015081655844155844
bearing_grouped,fixed_prespecified,True,0.8597222222222223,0.8419444444444443,0.8769444444444445,0.49,0.0,0.0388888888888889
bearing_grouped,nested_selection,True,0.8033333333333336,0.7719444444444445,0.8319444444444444,0.4059999999999999,0.898096029902358,0.09527777777777777
window_random,fixed_prespecified,False,1.0,1.0,1.0,1.0,0.0,None
window_random,nested_selection,False,1.0,1.0,1.0,1.0,0.0,None
